gramme de carbone	Volume de la solution	pH de la solution
0.565	3.793	3.693
0.857	3.439	3.842
0.584	3.083	3.863
0.225	2.405	4.26
0.421	2.969	4.123
0.366	2.613	3.893
0.334	2.405	4.292
0.494	2.724	3.896
0.364	3.214	3.952
0.798	2.766	3.832
0.535	2.035	4.059
0.369	2.902	3.579
0.506	2.95	3.84
0.239	2.114	3.526
0.399	3.354	4.003
0.448	3.03	3.766
0.256	2.956	3.81
0.742	3.059	3.96
0.306	3.449	3.875
0.374	3.102	4.041
0.547	3.33	3.764
0.644	3.09	3.709
0.397	3.119	3.855
0.549	2.548	3.639
0.519	2.151	3.795
0.654	3.067	3.826
0.397	2.731	3.935
0.45	2.965	4.034
0.442	2.407	3.92
0.403	3.408	3.878
0.483	2.531	4.055
0.585	2.913	3.785
0.52	2.671	3.913
0.616	3.608	3.489
0.18	2.822	3.995
0.351	2.605	3.976
0.25	4.354	3.933
0.395	3.304	3.899
0.361	2.145	4.2
0.808	2.09	3.816
0.537	2.758	3.905
0.41	2.843	4.096
0.651	2.472	3.969
0.641	2.924	4.182
0.287	3.377	4.004
0.49	2.595	4.108
0.578	2.933	4.005
0.577	3.331	4.303
0.639	2.17	3.961
0.53	3.082	4.261
0.526	2.99	4.279
0.589	2.736	3.843
0.618	3.227	4.076
0.45	3.055	4.16
0.338	3.667	4.017
0.554	2.892	3.922
0.631	3.678	3.784
0.332	3.633	3.771
0.422	2.067	4.105
0.302	2.653	3.868
0.6	3.512	3.949
0.249	2.776	4.211
0.509	1.962	3.974
0.552	3.392	4.028
0.609	4.071	4.039
0.666	2.884	3.987
0.384	3.479	3.15
0.777	3.098	4.008
0.648	2.215	3.9
0.671	3.022	4.323
0.371	2.941	4.193
0.529	2.687	3.71
0.732	2.757	3.711
0.642	3.315	3.912
0.668	1.491	4.241
0.525	3.107	3.757
0.584	2.855	3.736
0.238	3.373	3.92
0.623	2.1	4.163
0.644	3.321	3.662
0.324	2.777	3.873
0.321	3.554	4.129
0.602	2.463	3.934
0.281	3.374	4.087
0.709	3.97	4.384
0.411	2.543	3.859
0.488	2.575	3.958
0.445	3.152	4.121
